key : forbidden,  count : 1
key : non,  count : 2
key : involving,  count : 1
key : Poincaré,  count : 1
key : His,  count : 3
key : fixed,  count : 1
key : distance,  count : 4
key : live,  count : 1
key : why,  count : 3
key : past,  count : 5
key : cannot,  count : 1
key : galaxy,  count : 1
key : aspect,  count : 1
key : Hermann,  count : 1
key : showing,  count : 1
key : absolute,  count : 5
key : know,  count : 2
key : From,  count : 2
key : conclusions,  count : 1
key : William,  count : 1
key : fundamental,  count : 1
key : nature,  count : 1
key : principle,  count : 1
key : quantum,  count : 5
key : Albert,  count : 2
key : found,  count : 3
key : always,  count : 2
key : frame,  count : 1
key : Italian,  count : 2
key : fate,  count : 1
key : leading,  count : 2
key : sure,  count : 1
key : geocentric,  count : 1
key : part,  count : 2
key : Maxwell,  count : 2
key : contained,  count : 1
key : curved,  count : 1
key : creation,  count : 2
key : In,  count : 15
key : measure,  count : 2
key : equation,  count : 1
key : Russian,  count : 1
key : fairly,  count : 1
key : arrows,  count : 2
key : due,  count : 2
key : accurately,  count : 2
key : Markovich,  count : 1
key : inherent,  count : 1
key : might,  count : 3
key : spectra,  count : 4
key : Bondi,  count : 1
key : so,  count : 4
key : successful,  count : 1
key : our,  count : 3
key : Aristotelian,  count : 2
key : over,  count : 1
key : continue,  count : 1
key : again,  count : 1
key : speed,  count : 11
key : irreducible,  count : 1
key : Thus,  count : 2
key : linked,  count : 1
key : result,  count : 1
key : negative,  count : 1
key : while,  count : 2
key : fact,  count : 1
key : origin,  count : 2
key : explains,  count : 2
key : ago,  count : 2
key : Clerk,  count : 1
key : present,  count : 1
key : work,  count : 2
key : end,  count : 2
key : Einstein,  count : 6
key : This,  count : 6
key : then,  count : 7
key : Alexander,  count : 1
key : called,  count : 3
key : some,  count : 4
key : could,  count : 2
